id,spelling,char_set_str
767,choice,cehio
768,choke,cehko
769,choose,cehos
770,chop,chop
771,chorus,chorsu
772,Christ , Chirst
773,Christian,Cahinrst
774,chronic,chinor
775,church,chru
776,cigar,acgir
777,cigaret,acegirt
778,cinema,aceimn
779,circle,ceilr
780,circuit,cirtu
781,circular,acilru
782,circulate,aceilrtu
783,circumference,cefimnru
784,circus,cirsu
785,cite,ceit
786,citizen,ceintz
787,city,city
788,civil,cilv
789,civilian,acilnv
790,civilization,acilnotvz
791,civilize,ceilvz
792,claim,acilm
793,clap,aclp
794,clarify,acfilry
795,clarity,acilrty
796,clash,achls
797,clasp,aclps
798,class,acls
799,classic,acils
800,classical,acils
801,classification,acfilnost
802,classify,acfilsy
803,classmate,acelmst
804,classroom,aclmors
805,clause,acelsu
806,claw,aclw
807,clay,acly
808,clean,aceln
809,clear,acelr
810,clergy,ceglry
811,clerk,ceklr
812,clever,celrv
813,click,cikl
814,client,ceilnt
815,cliff,cfil
816,climate,aceilmt
817,climax,acilmx
818,climb,bcilm
819,cling,cgiln
820,clinic,ciln
821,clip,cilp
822,cloak,acklo
823,clock,cklo
824,clockwise,ceiklosw
825,clone,celno
826,close,celos
827,closet,celost
828,cloth,chlot
829,clothe,cehlot
830,clothing,cghilnot
831,cloud,cdlou
832,cloudy,cdlouy
833,club,bclu
834,clue,celu
835,clumsy,clmsuy
836,cluster,celrstu
837,clutch,chltu
838,coach,acho
839,coal,aclo
840,coalition,acilnot
841,coarse,aceors
842,coast,acost
843,coat,acot
844,cocaine,aceino
845,cock,cko
846,code,cdeo
847,cognitive,ceginotv
848,coherent,cehnort
849,cohesive,cehiosv
850,coil,cilo
851,coin,cino
852,coincide,cdeino
853,coincidence,cdeino
854,coke,ceko
855,cold,cdlo
856,collaborate,abcelort
857,collapse,acelops
858,collar,aclor
859,colleague,aceglou
860,collect,celot
861,collection,ceilnot
862,collective,ceilotv
863,college,ceglo
864,collide,cdeilo
865,collision,cilnos
866,colonel,celno
867,colonial,acilno
868,colony,clnoy
869,color,clor
870,column,clmnou
871,comb,bcmo
872,combat,abcmot
873,combination,abcimnot
874,combine,bceimno
875,come,cemo
876,comedy,cdemoy
877,comfort,cfmort
878,comfortable,abceflmort
879,comic,cimo
880,command,acdmno
881,commemorate,acemort
882,commence,cemno
883,commend,cdemno
884,comment,cemnot
885,commerce,cemor
886,commercial,aceilmor
887,commission,cimnos
888,commit,cimot
889,committee,ceimot
890,commodity,cdimoty
891,common,cmno
892,commonplace,acelmnop
893,commonwealth,acehlmnotw
894,communicate,aceimnotu
895,communication,acimnotu
896,communism,cimnosu
897,community,cimnotuy
898,commute,cemotu
899,compact,acmopt
900,companion,acimnop
901,company,acmnopy
902,comparable,abcelmopr
903,comparative,aceimoprtv
904,compare,acemopr
905,comparison,acimnoprs
906,compartment,acemnoprt
907,compass,acmops
908,compassion,acimnops
909,compatible,abceilmopt
910,compel,celmop
911,compensate,acemnopst
912,compensation,aceimnopst
913,compete,cemopt
914,competent,cemnopt
915,competition,ceimnopt
916,competitive,ceimoptv
917,compile,ceilmop
918,complain,acilmnop
919,complaint,acilmnopt
920,complement,celmnopt
921,complete,celmopt
922,complex,celmopx
923,complicate,aceilmopt
924,complicated,acdeilmopt
925,complication,acilmnopt
926,compliment,ceilmnopt
927,comply,clmopy
928,component,cemnopt
929,compose,cemops
930,composite,ceimopst
931,composition,cimnopst
932,compound,cdmnopu
933,comprehend,cdehmnopr
934,comprehension,cehimnoprs
935,comprehensive,cehimnoprsv
936,compress,cemoprs
937,comprise,ceimoprs
938,compromise,ceimoprs
939,compulsory,clmoprsuy
940,compute,cemoptu
941,computer,cemoprtu
942,comrade,acdemor
943,conceal,acelno
944,concede,cdeno
945,conceive,ceinov
946,concentrate,acenort
947,concentration,aceinort
948,concept,cenopt
949,concern,cenor
950,concerning,ceginor
951,concert,cenort
952,concession,ceinos
953,concise,ceinos
954,conclude,cdelnou
955,conclusion,cilnosu
956,concrete,cenort
957,condemn,cdemno
958,condense,cdenos
959,condition,cdinot
960,conduct,cdnotu
961,conductor,cdnortu
962,confer,cefnor
963,conference,cefnor
964,confess,cefnos
965,confidence,cdefino
966,confident,cdefinot
967,confidential,acdefilnot
968,confine,cefino
969,confirm,cfimnor
970,conflict,cfilnot
971,conform,cfmnor
972,confront,cfnort
973,confuse,cefnosu
974,confusion,cfinosu
975,congratulate,aceglnortu
976,congratulation,acgilnortu
977,congress,cegnors
978,conjunction,cijnotu
979,connect,cenot
980,connection,ceinot
981,conquer,cenoqru
982,conquest,cenoqstu
983,conscience,ceinos
984,conscientious,ceinostu
985,conscious,cinosu
986,consecutive,ceinostuv
987,consensus,cenosu
988,consent,cenost
989,consequence,cenoqsu
990,consequently,celnoqstuy
991,conservation,aceinorstv
992,conservative,aceinorstv
993,consider,cdeinors
994,considerable,abcdeilnors
995,considerate,acdeinorst
996,consideration,acdeinorst
997,consist,cinost
998,consistent,ceinost
999,console,celnos
1000,consolidate,acdeilnost
1001,conspicuous,cinopsu
1002,conspiracy,acinoprsy
1003,constant,acnost
1004,constituent,ceinostu
1005,constitute,ceinostu
1006,constitution,cinostu
1007,constrain,acinorst
1008,construct,cnorstu
1009,construction,cinorstu
1010,consult,clnostu
1011,consultant,aclnostu
1012,consume,cemnosu
1013,consumption,cimnopstu
1014,contact,acnot
1015,contain,acinot
1016,container,aceinort
1017,contaminate,aceimnot
1018,contemplate,acelmnopt
1019,contemporary,acemnoprty
1020,contempt,cemnopt
1021,contend,cdenot
1022,content,cenot
1023,contest,cenost
1024,context,cenotx
1025,continent,ceinot
1026,continual,acilnotu
1027,continue,ceinotu
1028,continuous , cinostu
1029,contract,acnort
1030,contradict,acdinort
1031,contradiction,acdinort
1032,contrary,acnorty
1033,contrast,acnorst
1034,contribute,bceinortu
1035,contribution,bcinortu
1036,contrive,ceinortv
1037,control,clnort
1038,controversial,aceilnorstv
1039,controversy,cenorstvy
1040,convenience,ceinov
1041,convenient,ceinotv
1042,convention,ceinotv
1043,conventional,aceilnotv
1044,conversation,aceinorstv
1045,conversely,celnorsvy
1046,conversion,ceinorsv
1047,convert,cenortv
1048,convey,cenovy
1049,convict,cinotv
1050,conviction,cinotv
1051,convince,ceinov
1052,cook,cko
1053,cool,clo
1054,cooperate,aceoprt
1055,cooperative,aceioprtv
1056,coordinate,acdeinort
1057,coordinates,acdeinorst
1058,cop,cop
1059,cope,ceop
1060,copper,ceopr
1061,copy,copy
1062,copyright,cghioprty
1063,cord,cdor
1064,cordial,acdilor
1065,core,ceor
1066,corn,cnor
1067,corner,cenor
1068,corporation,acinoprt
1069,correct,ceort
1070,correlate,acelort
1071,correspond,cdenoprs
1072,correspondence,cdenoprs
1073,correspondent,cdenoprst
1074,corresponding,cdeginoprs
1075,corridor,cdior
1076,corrode,cdeor
1077,corrupt,coprtu
1078,cosmic,cimos
1079,cost,cost
1080,costly,closty
1081,costume,cemostu
1082,cosy,cosy
1083,cottage,acegot
1084,cotton,cnot
1085,couch,chou
1086,cough,cghou
1087,could,cdlou
1088,council,cilnou
1089,counsel,celnosu
1090,count,cnotu
1091,counter,cenortu
1092,counterpart,acenoprtu
1093,country,cnortuy
1094,countryside,cdeinorstuy
1095,county,cnotuy
1096,couple,celopu
1097,coupon,cnopu
1098,courage,acegoru
1099,course,ceorsu
1100,court,cortu
1101,courtesy,ceorstuy
1102,courtyard,acdortuy
1103,cousin,cinosu
1104,cover,ceorv
1105,cow,cow
1106,coward,acdorw
1107,crab,abcr
1108,crack,ackr
1109,cradle,acdelr
1110,craft,acfrt
1111,crane,acenr
1112,crash,achrs
1113,crawl,aclrw
1114,crazy,acryz
1115,cream,acemr
1116,create,acert
1117,creative,aceirtv
1118,creature,acertu
1119,credential,acdeilnrt
1120,credit,cdeirt
1121,creep,cepr
1122,crew,cerw
1123,cricket,ceikrt
1124,crime,ceimr
1125,criminal,acilmnr
1126,cripple,ceilpr
1127,crisis,cirs
1128,crisp,ciprs
1129,criterion,ceinort
1130,critic,cirt
1131,critical,acilrt
1132,criticism,cimrst
1133,criticize,ceirtz
1134,crop,copr
1135,cross,cors
1136,crow,corw
1137,crowd,cdorw
1138,crown,cnorw
1139,crucial,acilru
1140,crude,cderu
1141,cruel,celru
1142,cruise,ceirsu
1143,crush,chrsu
1144,crust,crstu
1145,cry,cry
1146,crystal,aclrsty
1147,cube,bceu
1148,cucumber,bcemru
1149,cue,ceu
1150,cultivate,aceiltuv
1151,culture,celrtu
1152,cunning,cginu
1153,cupboard,abcdopru
1154,curb,bcru
1155,cure,ceru
1156,curiosity,ciorstuy
1157,curious,ciorsu
1158,curl,clru
1159,currency,cenruy
1160,current,cenrtu
1161,curriculum,cilmru
1162,curse,cersu
1163,curtain,acinrtu
1164,curve,ceruv
1165,cushion,chinosu
1166,custom,cmostu
1167,customary,acmorstuy
1168,customer,cemorstu
1169,cut,ctu
1170,cyberspace,abceprsy
1171,cycle,cely
1172,cylinder,cdeilnry
1173,daily,adily
1174,dairy,adiry
1175,dam,adm
1176,damage,adegm
1177,damn,admn
1178,damp,admp
1179,dance,acden
1180,danger,adegnr
1181,dangerous,adegnorsu
1182,dare,ader
1183,dark,adkr
1184,darling,adgilnr
1185,dash,adhs
1186,data,adt
1187,database,abdest
1188,date,adet
1189,dawn,adnw
1190,day,ady
1191,daylight,adghilty
1192,daytime,adeimty
1193,dazzle,adelz
1194,dead,ade
1195,deadline,adeiln
1196,deadly,adely
1197,deaf,adef
1198,deal,adel
1199,dealer,adelr
1200,dean,aden
1201,death,adeht
1202,debate,abdet
1203,debt,bdet
1204,decade,acde
1205,decay,acdey
1206,deceit,cdeit
1207,deceive,cdeiv
1208,decent,cdent
1209,decide,cdei
1210,decimal,acdeilm
1211,decision,cdeinos
1212,decisive,cdeisv
1213,deck,cdek
1214,declaration,acdeilnort
1215,declare,acdelr
1216,decline,cdeiln
1217,decorate,acdeort
1218,decrease,acders
1219,dedicate,acdeit
1220,deduce,cdeu
1221,deduct,cdetu
1222,deed,de
1223,deem,dem
1224,deep,dep
1225,deer,der
1226,defeat,adeft
1227,defect,cdeft
1228,defence,cdefn
1229,defend,defn
1230,deficiency,cdefiny
1231,deficit,cdefit
1232,define,defin
1233,definite,defint
1234,definition,definot
1235,defy,defy
1236,degenerate,adegnrt
1237,degree,degr
1238,delay,adely
1239,delegate,adeglt
1240,delete,delt
1241,deliberate,abdeilrt
1242,delicate,acdeilt
1243,delicious,cdeilosu
1244,delight,deghilt
1245,deliver,deilrv
1246,delivery,deilrvy
1247,demand,ademn
1248,democracy,acdemory
1249,democratic,acdeimort
1250,demonstrate,ademnorst
1251,denial,adeiln
1252,denote,denot
1253,denounce,cdenou
1254,dense,dens
1255,density,deinsty
1256,dental,adelnt
1257,dentist,deinst
1258,deny,deny
1259,depart,adeprt
1260,department,ademnprt
1261,departure,adeprtu
1262,depend,denp
1263,dependent,denpt
1264,depict,cdeipt
1265,deposit,deiopst
1266,depress,deprs
1267,deprive,deiprv
1268,depth,dehpt
1269,deputy,deptuy
1270,derive,deirv
1271,descend,cdens
1272,descendant,acdenst
1273,descent,cdenst
1274,describe,bcdeirs
1275,description , cdeinoprst
1276,desert,derst
1277,deserve,dersv
1278,design,degins
1279,designate,adeginst
1280,desirable,abdeilrs
1281,desire,deirs
1282,desk,deks
1283,desolate,adelost
1284,despair,adeiprs
1285,despatch,acdehpst
1286,desperate,adeprst
1287,despise,deips
1288,despite,deipst
1289,dessert,derst
1290,destination,adeinost
1291,destiny,deinsty
1292,destroy,deorsty
1293,destruction,cdeinorstu
1294,destructive,cdeirstuv
1295,detach,acdeht
1296,detail,adeilt
1297,detain,adeint
1298,detect,cdet
1299,detective,cdeitv
1300,detector,cdeort
1301,deteriorate,adeiort
1302,determine,deimnrt
1303,develop,delopv
1304,deviate,adeitv
1305,device,cdeiv
1306,devil,deilv
1307,devise,deisv
1308,devote,deotv
1309,dew,dew
1310,diagnose,adeginos
1311,diagram,adgimr
1312,dial,adil
1313,dialect,acdeilt
1314,dialog,adgilo
1315,diameter,adeimrt
1316,diamond,adimno
1317,diary,adiry
1318,dictate,acdeit
1319,dictation,acdinot
1320,dictionary,acdinorty
1321,die,dei
1322,diet,deit
1323,differ,defir
1324,difference,cdefinr
1325,different,definrt
1326,differentiate,adefinrt
1327,difficult,cdfiltu
1328,difficulty,cdfiltuy
1329,diffuse,defisu
